Name,Price (BDT),Shop,Link
SAPPHIRE PULSE Radeon RX 6650 XT 8GB OC GDDR6 GRAPHICS CARD,34900,TechLand,https://www.techlandbd.com/sapphire-pulse-radeon-rx-6650-xt-oc-graphics-card
LEADTEK WINFAST RTX 3050 HURRICANE WHITE EDITION 8G GDDR6 GRAPHICS CARD,35000,TechLand,https://www.techlandbd.com/leadtek-winfast-rtx-3050-hurricane-white-8g-graphics-card
OCPC RTX 3060 12GB GDDR6 GAMING CARD,35500,TechLand,https://www.techlandbd.com/ocpc-rtx-3060-12gb-gddr6-gaming-card
Gigabyte GeForce GTX 1660 SUPER OC 6GB Graphics Card,36000,TechLand,https://www.techlandbd.com/gigabyte-gtx-1660-super-oc-graphics-card
Sapphire PULSE AMD Radeon RX 7600 Gaming OC 8GB GDDR6 Graphics Card,37000,StarTech,https://www.startech.com.bd/sapphire-pulse-amd-radeon-rx-7600-8gb-graphics-card
Colorful iGame GeForce RTX 3060 Ultra W OC 8GB-V 8GB GDDR6 Graphics Card,37499,StarTech,https://www.startech.com.bd/colorful-igame-geforce-rtx-3060-ultra-w-oc-8gb-v-graphics-card
COLORFUL IGAME RTX 3060 ULTRA W OC 8GB-V 8GB DDR6 GRAPHICS CARD,37499,TechLand,https://www.techlandbd.com/colorful-igame-geforce-rtx-3060-ultra-w-oc-12g-l-v-graphics-card
ASUS TUF Gaming GeForce GTX 1660 SUPER 6GB Graphics Card,37500,TechLand,https://www.techlandbd.com/asus-tuf-gtx1660s-6g-gaming-graphics-card
SAPPHIRE PULSE Radeon RX 7600 Gaming OC 8GB GDDR6 Graphics Card,37500,UCC,https://www.ucc.com.bd/category-store/computer-components/graphics-card/sapphire-pulse-radeon-rx-7600-8gb-ddr6-graphics-card
ZOTAC GAMING GEFORCE RTX 3060 TWIN EDGE 12GB GDDR6 GRAPHICS CARD,37800,TechLand,https://www.techlandbd.com/zotac-gaming-geforce-rtx-3060-twin-edge-graphics-card
GUNNIR Intel Arc A770 Photon 16G OC GDDR6 Graphics Card,37900,StarTech,https://www.startech.com.bd/gunnir-intel-arc-a770-photon-16g-oc-graphics-card
Yeston GeForce RTX 3060 12GB GDDR6 LHR Graphics Card,37900,StarTech,https://www.startech.com.bd/yeston-rtx-3060-12gb-gddr6-lhr-graphics-card
Yeston RTX 3060 12GB GDDR6 GA LHR Graphics Card,37900,TechLand,https://www.techlandbd.com/yeston-rtx-3060-12gb-gddr6-ga-lhr-gpu
GUNNIR INTEL ARC A770 PHOTON 16G OC GRAPHICS CARD,37900,TechLand,https://www.techlandbd.com/gunnir-intel-arc-a770-photon-16g-oc-graphics-card
GUNNIR INTEL ARC A770 PHOTON 16G OC W GRAPHICS CARD,37999,TechLand,https://www.techlandbd.com/gunnir-intel-arc-a770-photon-16g-oc-w-graphics-card
ZOTAC GAMING GeForce RTX 3060 Twin Edge 12GB GDDR6 Graphics Card,38000,StarTech,https://www.startech.com.bd/zotac-gaming-geforce-rtx-3060-twin-edge-graphics-card
PELADN RTX 2070 Super 8G GDDR6 Triple Fan Gaming Graphics Card,38000,StarTech,https://www.startech.com.bd/peladn-rtx-2070-super-8g-gaming-graphics-card
PELADN RTX 2070 SUPER 8G GAMING 8GB GDDR6 GAMING GRAPHICS CARD,38000,TechLand,https://www.techlandbd.com/peladn-rtx-2070-super-8gb-gddr6-graphics-card
MSI GeForce RTX 3060 VENTUS 2X OC 12GB Graphics Card,38500,StarTech,https://www.startech.com.bd/msi-rtx-3060-ventus-2x-oc-12gb-graphics-card
MSI GeForce RTX 3060 VENTUS 2X 12GB GDDR6 Graphics Card,38500,StarTech,https://www.startech.com.bd/msi-geforce-rtx-3060-ventus-2x-12g-graphics-card
ZOTAC GAMING GeForce RTX 3060 Twin Edge 12GB DDR6 Graphics Card,38500,UCC,https://www.ucc.com.bd/category-store/computer-components/graphics-card/zotac-gaming-geforce-rtx-3060-twin-edge-graphics-card
MSI GeForce RTX 3060 VENTUS 2X OC 8GB Graphics Card,38900,StarTech,https://www.startech.com.bd/msi-rtx-3060-ventus-2x-oc-8gb-graphics-card
